ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
12,0.273438,0.943359,-0.0107422,-1.07765,-1.42479,-0.576019,-5.4862,-31.419,23.683,0.038737,-0.1705,-0.6972,-0.6953,-857138089,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2344,0.9751,-0.02246,0.4044,1.143,1.705,30.72,-20.961,6.8309,0.4826,0.3642,0.6167,0.5041,-857508932,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.03809,0.9897,-0.07031,0.309,0.2041,0.0248,0.43122,0.48304,0.54765,0.52991,-0.001526,-0.007248,-0.003815,-856778088,68
6,0.07129,0.9839,-0.1162,-1.696,2.075,-0.1965,0.17204,0.25448,0.70599,0.63814,-0.01057,-0.0047,0.01015,-856756280,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.08447,0.9663,0.03027,-0.8297,0.05722,-0.06485,0.44451,0.38975,0.58082,0.55961,-0.004318,-0.03023,0.008789,-857049549,126
9,-0.438,0.9121,-0.05078,-0.1469,0.288,2.211,0.55241,0.34804,0.6381,0.40811,-0.01707,0.006775,0.005814,-857610366,70
10,0.2612,0.9714,-0.2917,-1.884,-3.159,-1.57,0.0043708,-0.19693,-0.7775,-0.59724,0.01921,0.04446,-0.005173,-857232735,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2954,0.9346,-0.02734,-0.5894,-2.401,0.09537,-4.4362,-31.569,22.483,0.037548,-0.1715,-0.6969,-0.6954,-857088607,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2344,0.9751,-0.02246,0.4044,1.143,1.705,30.72,-20.961,6.8309,0.4826,0.3642,0.6167,0.5041,-857508932,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04443,0.981,-0.06104,0.4311,0.5093,0.2079,0.43129,0.48296,0.54752,0.53005,0.004745,-0.01605,0.005051,-856687489,68
6,0.0791,0.9883,-0.1196,-1.085,1.709,0.1698,0.17102,0.25326,0.70587,0.63903,-0.003143,-0.000473,0.005157,-856686840,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.08398,0.9771,0.02441,-0.1583,-0.1259,0.1183,0.44492,0.39001,0.58047,0.55946,-0.00386,-0.01949,0.002533,-856967762,126
9,-0.4292,0.9033,-0.05908,-0.9403,-2.52,2.821,0.55259,0.34861,0.6374,0.40846,-0.009537,-0.002655,-0.003464,-857570530,70
10,0.2563,0.9343,-0.2888,-2.373,-0.473,-1.387,0.002961,-0.19716,-0.77677,-0.59812,0.01591,0.006302,-0.004318,-857162858,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.3013,0.9404,-0.04053,0.02098,-0.6924,0.3395,-5.0362,-32.469,22.633,0.03681,-0.1728,-0.6967,-0.6953,-857018199,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2158,0.957,-0.01904,0.6485,-0.5054,1.949,30.12,-21.561,8.1808,0.48191,0.3656,0.6163,0.5043,-857411772,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04492,0.9897,-0.05664,0.6142,0.2041,0.2079,0.43142,0.48284,0.54744,0.53014,0.005325,-0.007309,0.009003,-856618095,68
6,0.07422,0.9854,-0.1177,-0.597,0.7935,-0.01335,0.17074,0.25283,0.70549,0.63969,-0.008331,-0.003571,0.005615,-856606860,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.0708,0.9678,0.01953,-0.5856,-0.4311,0.1183,0.44539,0.3904,0.58,0.5593,0.009155,-0.02876,-0.002838,-856869522,126
9,-0.4326,0.9058,-0.04785,0.5245,-3.191,1.417,0.55235,0.34944,0.63647,0.40952,-0.0157,-0.001541,0.006561,-857400370,70
10,0.251,0.95,-0.2903,-2.19,-0.2289,-0.7153,0.0025947,-0.19719,-0.77648,-0.59849,0.01093,0.02155,-0.006668,-857134553,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.3057,0.9395,-0.01123,-0.4063,1.139,0.5836,-5.7862,-33.669,22.933,0.037097,-0.1728,-0.6966,-0.6953,-856956400,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2275,0.9614,-0.02441,0.03815,1.509,0.7896,29.22,-20.211,6.5309,0.48174,0.3659,0.6161,0.5044,-857367548,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.03223,0.9849,-0.05273,0.37,-0.3452,0.2689,0.43146,0.4828,0.54724,0.53035,-0.007645,-0.01221,0.01242,-856537479,68
6,0.08301,0.9697,-0.1196,-0.7191,0.1831,-0.2575,0.17179,0.25386,0.70501,0.63954,0.0005341,-0.01924,0.003342,-856546263,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.07861,0.9741,0.03418,-0.2193,0.4845,0.3014,0.44578,0.39063,0.57965,0.55919,0.001312,-0.02242,0.01135,-856769637,126
9,-0.4282,0.897,-0.05273,0.1583,-2.642,0.5627,0.55364,0.35103,0.63493,0.40881,-0.01218,-0.01083,-1.526e-05,-857311042,70
10,0.2432,0.9436,-0.2795,-1.701,-2.121,-0.04387,0.0020153,-0.19755,-0.77616,-0.59879,0.003464,0.01489,0.003357,-857104601,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2808,0.9526,-0.02441,-0.1011,2.054,0.2785,-6.6862,-31.569,24.283,0.03766,-0.1725,-0.6965,-0.6955,-856908194,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2378,0.9673,-0.05518,-0.08392,-2.153,1.034,28.47,-21.261,8.6308,0.48138,0.3657,0.6164,0.5045,-857298984,66
