ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
5,0.0112305,0.971191,-0.155762,0.0190735,0.135422,0.125885,0.50961,0.59642,0.47213,0.40209,0.0128,-0.01636,0.001495,-1307664962,68
6,0.01318,0.9736,-0.1958,0.2403,0.1774,-0.001907,0.17533,0.22767,0.74044,0.60759,-0.00383,-0.005966,0.004379,-1307280989,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.006348,0.9653,-0.1719,-0.1259,-0.03433,0.05531,0.50737,0.60715,0.469,0.39241,0.005768,-0.01884,0.00531,-1307320541,126
9,0.005371,0.9922,-0.1255,-0.06104,-0.0782,-0.04959,0.44867,0.51515,0.54645,0.48447,-0.003418,0.0004578,0.002487,-1307788756,70
10,-0.01904,0.9614,-0.2153,0.07439,-0.007629,-0.09346,0.60005,0.74679,0.22799,0.17397,-0.005264,-0.01411,0.004013,-1307980906,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.005371,0.9614,-0.1636,0,-0.09537,0.3891,7.35,-34.95,-4.35,0.6077,0.719,0.2574,0.2179,-1307655535,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.004395,0.9565,-0.2407,0.07439,0.1488,0.1888,-1.65,-39,15.45,0.074064,0.08592,-0.7865,-0.6071,-1307878771,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
