ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0249,0.98,-0.09473,-1.223,0.2213,0.164,0.2365,0.28307,0.67242,0.64171,-0.02032,-0.01691,-0.03017,-817686279,68
6,0.08447,0.9751,-0.08789,4.391,-4.232,-1.869,0.067676,0.010525,-0.74177,-0.66715,-0.001877,-0.01605,0.01279,-817724242,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.006348,0.9678,0.03613,5.907,8.303,-5.928,0.18213,0.16458,0.69672,0.67404,0.02557,-0.0314,0.06114,-817990871,126
9,-0.3008,0.9077,-0.03271,-14.61,38.25,0.9289,0.44796,0.28873,0.67486,0.51043,0.009094,-0.03989,0.04488,-818201311,70
10,0.1851,0.9563,-0.1536,19.17,36.21,0.8106,0.25446,0.21857,-0.76725,-0.54663,0.03355,0.006271,0.1193,-818602790,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.1777,0.9917,0.1958,17.78,65.59,8.335,-20.717,-31.829,16.942,0.28023,0.1397,-0.6887,-0.6539,-818696839,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.0293,0.9575,-0.2241,1.991,31.11,-0.7362,26.114,-24.558,18.698,0.3762,0.3696,0.659,0.5363,-818335624,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.03564,0.9805,-0.09229,-2.016,-0.145,1.568,0.23581,0.28283,0.67209,0.64241,-0.01076,-0.01643,-0.02887,-817606299,68
6,0.05615,0.9829,-0.1089,4.269,-1.059,-1.747,0.062234,0.0078445,-0.74372,-0.66554,-0.02596,-0.007996,-0.002518,-817644271,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.0542,0.9893,-0.02686,7.738,13.98,-1.9,0.17887,0.15478,0.70225,0.67148,-0.01083,-0.009201,0.007385,-817802719,126
